,value,min,max,dsc,sym,dev,timestamp
0,28.2876171875,-40,85,Thermometer,°c,BME680,1614541492.9903762
1,994.0606478455052,300,1100,Barometer,hPa,BME680,1614541492.9903762
2,26.26746103638211,0,100,Hygrometer,%,BME680,1614541492.9903762
3,558.288,300000,1100000,VOC,KOhm,BME680,1614541492.9903762
0,28.364375,-40,85,Thermometer,°c,BME680,1614541553.4636424
1,994.0689397330439,300,1100,Barometer,hPa,BME680,1614541553.4636424
2,24.317965762614094,0,100,Hygrometer,%,BME680,1614541553.4636424
3,179.205,300000,1100000,VOC,KOhm,BME680,1614541553.4636424
0,28.4376171875,-40,85,Thermometer,°c,BME680,1614541614.151197
1,994.0681331996119,300,1100,Barometer,hPa,BME680,1614541614.151197
2,24.100498587739132,0,100,Hygrometer,%,BME680,1614541614.151197
3,174.778,300000,1100000,VOC,KOhm,BME680,1614541614.151197
0,28.444453125,-40,85,Thermometer,°c,BME680,1614541674.830236
1,994.0630484417312,300,1100,Barometer,hPa,BME680,1614541674.830236
2,24.27485294450409,0,100,Hygrometer,%,BME680,1614541674.830236
3,173.918,300000,1100000,VOC,KOhm,BME680,1614541674.830236
0,28.4270703125,-40,85,Thermometer,°c,BME680,1614541735.5002174
1,994.0462009914621,300,1100,Barometer,hPa,BME680,1614541735.5002174
2,24.32252727501147,0,100,Hygrometer,%,BME680,1614541735.5002174
3,172.225,300000,1100000,VOC,KOhm,BME680,1614541735.5002174
0,28.374921875,-40,85,Thermometer,°c,BME680,1614541796.643722
1,994.0379747673636,300,1100,Barometer,hPa,BME680,1614541796.643722
2,24.465633706033472,0,100,Hygrometer,%,BME680,1614541796.643722
3,175.124,300000,1100000,VOC,KOhm,BME680,1614541796.643722
0,28.304609375,-40,85,Thermometer,°c,BME680,1614541857.391597
1,994.0098891623586,300,1100,Barometer,hPa,BME680,1614541857.391597
2,24.520378379535508,0,100,Hygrometer,%,BME680,1614541857.391597
3,175.645,300000,1100000,VOC,KOhm,BME680,1614541857.391597
0,28.2286328125,-40,85,Thermometer,°c,BME680,1614541918.141525
1,993.9940034372117,300,1100,Barometer,hPa,BME680,1614541918.141525
2,24.574716532708806,0,100,Hygrometer,%,BME680,1614541918.141525
3,176.875,300000,1100000,VOC,KOhm,BME680,1614541918.141525
0,28.15265625,-40,85,Thermometer,°c,BME680,1614541978.9126759
1,993.9816212001483,300,1100,Barometer,hPa,BME680,1614541978.9126759
2,24.650856318218572,0,100,Hygrometer,%,BME680,1614541978.9126759
3,177.764,300000,1100000,VOC,KOhm,BME680,1614541978.9126759
0,28.0864453125,-40,85,Thermometer,°c,BME680,1614542039.713275
1,993.9863933998834,300,1100,Barometer,hPa,BME680,1614542039.713275
